"ssid","sslon","sslat","esid","eslon","eslat","ssaddress","esaddress","numroute","routeid","lat","lon"
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76975,-73.97169
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.76994,-73.97141
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77019,-73.97121
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77069,-73.97093
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77086,-73.9708
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77099,-73.97066
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.7711,-73.97049
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77123,-73.97023
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77143,-73.96981
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77155,-73.9696
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77173,-73.96935
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77195,-73.96919
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77228,-73.969
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77243,-73.96892
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77255,-73.96883
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77267,-73.96866
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77274,-73.9685
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.7728,-73.96825
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77279,-73.968
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77277,-73.96783
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77272,-73.96767
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77269,-73.96761
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77279,-73.96755
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.7729,-73.96752
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77288,-73.96734
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77289,-73.96729
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77296,-73.96718
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77303,-73.96708
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77311,-73.96702
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77316,-73.96701
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77323,-73.96702
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77348,-73.96714
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77371,-73.96703
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77376,-73.96703
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77427,-73.9666
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77438,-73.96655
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77449,-73.96641
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77457,-73.96632
2006,-73.97634151,40.76590936,3282,-73.95939,40.78307,"Central Park S & 6 Ave, New York, NY","5 Ave & E 88 St, New York, NY",921,"5",40.77462,-73.96624
